ID,rodata,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
7783,14.0,Goias,Cuiaba,Goias,1,0
7784,14.0,Ceara,Atletico-GO,-,1,1
7785,14.0,Sao Paulo,Juventude,-,0,0
7786,15.0,Juventude,Atletico-MG,Atletico-MG,1,2
7787,15.0,Fluminense,Corinthians,Fluminense,4,0
7788,15.0,Santos,Flamengo,Flamengo,1,2
7789,15.0,Ceara,Internacional,-,1,1
7790,15.0,Palmeiras,Athletico-PR,Athletico-PR,0,2
7791,15.0,Avai,Cuiaba,Cuiaba,1,2
7792,15.0,Atletico-GO,Sao Paulo,Sao Paulo,1,2
7793,15.0,America-MG,Goias,America-MG,1,0
7794,15.0,Coritiba,Fortaleza,Coritiba,2,1
7795,15.0,Bragantino,Botafogo-RJ,Botafogo-RJ,0,1
7796,16.0,Bragantino,Avai,Bragantino,4,0
7797,16.0,Fluminense,Ceara,Fluminense,2,1
7798,16.0,Goias,Athletico-PR,Goias,2,1
7799,16.0,Coritiba,Juventude,-,2,2
7800,16.0,Corinthians,Flamengo,Corinthians,1,0
7802,16.0,Fortaleza,Palmeiras,-,0,0
7803,16.0,Atletico-MG,Sao Paulo,-,0,0
7801,16.0,Santos,Atletico-GO,Santos,1,0
7804,16.0,Cuiaba,Botafogo-RJ,Cuiaba,2,0
7805,16.0,Internacional,America-MG,Internacional,1,0
7806,17.0,Athletico-PR,Internacional,-,0,0
7807,17.0,Flamengo,Coritiba,Flamengo,2,0
7808,17.0,Avai,Santos,Avai,1,0
7809,17.0,Ceara,Corinthians,Ceara,3,1
7810,17.0,Juventude,Goias,-,0,0
7811,17.0,Sao Paulo,Fluminense,-,2,2
7813,17.0,Atletico-GO,Fortaleza,Fortaleza,0,1
7812,17.0,Botafogo-RJ,Atletico-MG,Atletico-MG,0,1
7814,17.0,America-MG,Bragantino,Bragantino,0,3
7815,17.0,Palmeiras,Cuiaba,Palmeiras,1,0
7816,18.0,Ceara,Avai,Ceara,1,0
7818,18.0,Goias,Fluminense,Fluminense,2,3
